Freq,InputRe,InputIm,OutputRe,OutputIm,Mag,Phase,SmoothMag,SmoothPhase
0,2.347126e+10,0,2.391313e+10,0,34.66689,-180,0,0
5.425347,8.778576e+09,0,9.059987e+09,3.803359e+07,30.07719,172.5435,30.07719,-187.4565
10.85069,1.111636e+09,0,1.317474e+09,-1.860327e+08,13.61695,-145.9305,17.39688,-157.7152
16.27604,5.106041e+08,0,6.4167e+08,-2.185947e+08,8.496494,-139.7584,11.30975,-147.2436
21.70139,2.178675e+08,0,2.049647e+08,-1.877364e+08,3.387857,-128.5563,7.531532,-144.0451
27.12674,1.55206e+08,0,1.060714e+08,-1.813453e+08,0.9702662,-134.516,4.855662,-143.4708
32.55208,1.66662e+08,0,4.66624e+07,-1.999064e+08,-1.106052,-135.8857,2.725159,-144.2875
37.97743,1.669479e+08,0,2309075,-1.763233e+08,-2.721981,-136.2124,0.9548643,-146.1947
43.40278,1.038649e+08,0,-1.944466e+07,-1.015396e+08,-3.778929,-140.3106,-0.6302003,-148.39
48.82813,6.50109e+07,0,-2.047139e+07,-5.021272e+07,-5.240832,-142.6106,-1.998958,-150.5563
54.25347,5.28782e+07,0,-2.12809e+07,-3.388286e+07,-6.182953,-146.6872,-3.183428,-152.7512
59.67882,3.777338e+07,0,-1.532209e+07,-1.782668e+07,-7.541264,-149.2385,-4.297848,-155.5633
65.10416,4.809554e+07,0,-2.081598e+07,-1.714619e+07,-8.409591,-154.4939,-6.490344,-155.7575
70.52951,2.650399e+07,0,-1.145467e+07,-7066505,-9.153918,-158.8748,-7.916928,-158.2768
75.95486,2.609961e+07,0,-9879629,-4762952,-10.39409,-161.8024,-9.144503,-161.1846
81.38021,2.133843e+07,0,-7046487,-2889340,-11.47215,-163.5166,-10.16567,-164.5445
86.80556,2.456816e+07,0,-7809606,-2526116,-11.94655,-166.5367,-11.13284,-167.7777
92.2309,1.49157e+07,0,-4339054,-1312571,-12.58272,-167.0691,-12.07756,-171.3017
97.65625,2.543501e+07,0,-7020026,-1525771,-13.108,-170.4293,-12.96216,-174.8096
103.0816,2.028905e+07,0,-5426443,-924816.7,-13.39486,-172.3878,-13.82018,-178.2729
108.5069,1.07964e+07,0,-2452140,33719.71,-14.65166,179.358,-14.66031,-181.7917
113.9323,9959314,0,-2110327,175151.8,-15.11799,176.0869,-15.50513,-185.1848
119.3576,1.176324e+07,0,-2153007,524580.8,-15.96524,168.4655,-16.3742,-188.4289
124.783,1.232741e+07,0,-2030037,825430.8,-16.3413,161.1633,-17.22121,-191.1301
130.2083,9304019,0,-1330287,592598.5,-17.28258,159.1781,-18.01563,-193.2177
135.6337,9774379,0,-1286086,513681.4,-18.0566,160.8866,-18.75209,-194.974
141.059,7594378,0,-823805.8,384665.1,-19.34035,157.5867,-19.53313,-196.7529
146.4844,7845351,0,-641545.4,411330.9,-20.9451,150.1085,-20.3197,-198.987
151.9097,6739023,0,-528179.3,336895.2,-21.29859,150.1228,-21.15028,-201.3922
157.3351,5713719,0,-404068.3,291048.7,-21.79753,146.9587,-21.89375,-203.4063
162.7604,6722763,0,-396848.6,322495.6,-22.88344,143.4948,-22.61959,-204.4769
168.1858,4558095,0,-232760.2,197395.3,-23.92416,142.0594,-23.24119,-205.2817
173.6111,4534653,0,-187900.2,153387.9,-25.79181,142.6346,-23.78714,-206.2632
179.0365,5725143,0,-246187.1,158276.2,-26.19672,148.781,-24.34155,-206.1588
184.4618,6076175,0,-297659.3,131910.9,-25.83675,157.2846,-24.90611,-205.3545
189.8871,6868237,0,-346074.6,123678.6,-25.85978,161.3165,-25.40516,-204.5277
195.3125,4924775,0,-192013.5,76534.45,-27.87393,159.1253,-25.83708,-204.1377
200.7379,4155989,0,-133130.9,92124.84,-28.46456,146.5477,-26.2177,-203.2804
206.1632,2518634,0,-63547.7,50927.61,-30.02502,142.4209,-26.51385,-202.2938
211.5885,3144644,0,-98660.95,66286.64,-28.72079,147.2752,-26.7876,-202.1977
217.0139,3787701,0,-140069,38672.55,-28.63746,165.1295,-27.04008,-202.72
222.4392,2742923,0,-111638.2,36882.9,-27.70535,162.4578,-27.20329,-202.7846
227.8646,3131767,0,-138126.8,66441.73,-26.58299,155.4756,-27.36396,-202.7248
233.2899,3315151,0,-141909.5,24374.99,-27.60785,170.6577,-27.45179,-203.6433
238.7153,3321088,0,-134396.2,4755.856,-28.19701,178.0522,-27.5867,-204.6506
244.1406,3525829,0,-150098.7,9457.203,-27.76262,176.5422,-27.93833,-206.8822
249.566,2149618,0,-96940.31,19587.38,-27.12681,169.0764,-28.23498,-209.6445
254.9913,1731318,0,-77504.68,6246.545,-27.33329,175.59,-28.33626,-210.9874
260.4167,1894098,0,-85558.61,14458.39,-27.16447,170.8268,-28.40541,-210.8888
265.842,2578606,0,-104168.7,57969.88,-27.04727,152.1419,-28.47123,-210.5553
271.2674,2442641,0,-77592.77,79860,-27.09957,135.99,-28.62613,-210.7276
276.6927,2712902,0,-104999.6,86954.62,-26.31079,142.1379,-28.739,-212.9049
282.118,2299703,0,-80752.95,63579.4,-27.29827,143.3154,-28.85924,-214.2802
287.5434,1555999,0,-34333.22,56440.41,-27.63609,123.3451,-29.0696,-214.899
292.9688,2558746,0,-54317.66,74791.43,-29.02986,127.6287,-29.27585,-217.4566
298.3941,2531984,0,-18343.98,52562.51,-33.2211,110.4194,-29.26342,-219.4249
303.8195,1914527,0,-9881.385,46826.5,-32.08947,103.3097,-29.1962,-221.2829
309.2448,1425358,0,-29282.1,35488.2,-30.00078,130.9243,-29.29018,-223.6102
314.6701,1802398,0,-49964.15,31661.16,-29.91654,148.6177,-29.37442,-226.8771
320.0955,2176757,0,-51157.37,31199.74,-31.40727,149.4242,-29.35304,-229.6302
325.5208,2046594,0,-41910.51,31828.59,-31.97363,143.6586,-29.33834,-231.8694
330.9462,1516971,0,-20315.07,38239.82,-31.0078,119.4046,-29.27586,-233.0262
336.3715,1855084,0,-39250.45,43177.97,-30.2303,133.5778,-29.29587,-235.0062
341.7969,1580542,0,-35638.92,28373.92,-31.00051,142.4807,-29.28789,-237.7051
347.2222,999175.9,0,-11061,23043.91,-31.93915,116.9476,-29.17556,-239.6786
352.6476,577004.9,0,-16876.3,16820.12,-27.93609,136.7178,-29.02564,-241.72
358.0729,991867.3,0,-35342.66,34617.08,-26.35098,137.5244,-28.72585,-243.3242
363.4983,1074528,0,-18259.37,33720.16,-29.10033,120.2028,-28.5783,-244.5604
368.9236,1034087,0,-9504.085,35360.55,-29.10229,106.9849,-28.57737,-247.7747
374.349,957953.8,0,-15778.9,42126.39,-26.71565,113.0112,-28.48512,-251.1708
